,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
1907,2025-04-01,L - 5,1900-01-01 06:50:00,1900-01-01 07:07:20,Régulier,SYGA00,70,ODIER,2025-04-01 06:50:00,2025-04-01 06:50:00,70 - 5,0.0
1869,2025-04-01,L - 6,1900-01-01 06:55:00,1900-01-01 07:12:40,Régulier,CRCO05,70,ODIER,2025-04-01 06:55:00,2025-04-01 06:55:00,70 - 6,0.0
797,2025-04-01,48 - 5,1900-01-01 06:57:00,1900-01-01 07:10:40,Régulier,LULY00,47,ODIER,2025-04-01 06:57:00,2025-04-01 06:57:00,47 - 5,0.0
158,2025-04-01,33 - 14,1900-01-01 06:58:40,1900-01-01 07:18:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 06:58:40,2025-04-01 06:58:00,31 - 14,0.0
1534,2025-04-01,60 - 4,1900-01-01 06:58:40,1900-01-01 07:46:40,Régulier,GXAI01,61,Rdta,2025-04-01 06:58:40,2025-04-01 06:58:00,61 - 4,0.0
201,2025-04-01,33 - 12,1900-01-01 07:04:00,1900-01-01 07:26:00,Régulier,PRSM00,31,Genève-Tours,2025-04-01 07:04:00,2025-04-01 07:04:00,31 - 12,0.0
1870,2025-04-01,L - 4,1900-01-01 07:05:00,1900-01-01 07:23:40,Régulier,CRCO05,70,ODIER,2025-04-01 07:05:00,2025-04-01 07:05:00,70 - 4,0.0
1908,2025-04-01,L - 1,1900-01-01 07:05:00,1900-01-01 07:24:00,Régulier,SYGA00,70,ODIER,2025-04-01 07:05:00,2025-04-01 07:05:00,70 - 1,0.0
749,2025-04-01,48 - 6,1900-01-01 07:08:00,1900-01-01 07:23:00,Régulier,CRCO05,47,ODIER,2025-04-01 07:08:00,2025-04-01 07:08:00,47 - 6,0.0
798,2025-04-01,48 - 3,1900-01-01 07:08:40,1900-01-01 07:23:20,Régulier,LULY00,47,ODIER,2025-04-01 07:08:40,2025-04-01 07:08:00,47 - 3,0.0
159,2025-04-01,32 - 6,1900-01-01 07:15:00,1900-01-01 07:37:20,Régulier,PMAR00,31,Genève-Tours,2025-04-01 07:15:00,2025-04-01 07:15:00,31 - 6,0.0
1909,2025-04-01,L - 6,1900-01-01 07:20:00,1900-01-01 07:39:00,Régulier,SYGA00,70,ODIER,2025-04-01 07:20:00,2025-04-01 07:20:00,70 - 6,0.0
202,2025-04-01,32 - 1,1900-01-01 07:20:40,1900-01-01 07:43:20,Régulier,PRSM00,31,Genève-Tours,2025-04-01 07:20:40,2025-04-01 07:20:00,31 - 1,0.0
1871,2025-04-01,L - 5,1900-01-01 07:21:00,1900-01-01 07:39:40,Régulier,CRCO05,70,ODIER,2025-04-01 07:21:00,2025-04-01 07:21:00,70 - 5,0.0
1535,2025-04-01,60 - 5,1900-01-01 07:23:00,1900-01-01 08:12:40,Régulier,GXAI01,61,Rdta,2025-04-01 07:23:00,2025-04-01 07:23:00,61 - 5,0.0
750,2025-04-01,48 - 2,1900-01-01 07:25:00,1900-01-01 07:40:00,Régulier,CRCO05,47,ODIER,2025-04-01 07:25:00,2025-04-01 07:25:00,47 - 2,0.0
414,2025-04-01,33z - 17,1900-01-01 07:26:40,1900-01-01 07:44:00,Régulier,VAND02,33,Genève-Tours,2025-04-01 07:26:40,2025-04-01 07:26:00,33 - 17,0.0
799,2025-04-01,48 - 6,1900-01-01 07:28:40,1900-01-01 07:44:40,Régulier,LULY00,47,ODIER,2025-04-01 07:28:40,2025-04-01 07:28:00,47 - 6,0.0
160,2025-04-01,33 - 13,1900-01-01 07:29:40,1900-01-01 07:52:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 07:29:40,2025-04-01 07:29:00,31 - 13,0.0
203,2025-04-01,33 - 14,1900-01-01 07:33:40,1900-01-01 07:57:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 07:33:40,2025-04-01 07:33:00,31 - 14,0.0
1872,2025-04-01,L - 2,1900-01-01 07:35:00,1900-01-01 07:53:40,Régulier,CRCO05,70,ODIER,2025-04-01 07:35:00,2025-04-01 07:35:00,70 - 2,0.0
1910,2025-04-01,L - 4,1900-01-01 07:35:00,1900-01-01 07:54:00,Régulier,SYGA00,70,ODIER,2025-04-01 07:35:00,2025-04-01 07:35:00,70 - 4,0.0
161,2025-04-01,33 - 15,1900-01-01 07:41:40,1900-01-01 08:05:00,Régulier,PMAR00,31,Genève-Tours,2025-04-01 07:41:40,2025-04-01 07:41:00,31 - 15,0.0
751,2025-04-01,48 - 1,1900-01-01 07:41:40,1900-01-01 07:56:40,Régulier,CRCO05,47,ODIER,2025-04-01 07:41:40,2025-04-01 07:41:00,47 - 1,0.0
334,2025-04-01,32 - 1,1900-01-01 07:43:40,1900-01-01 08:12:00,Régulier,PMAR01,33,Genève-Tours,2025-04-01 07:43:40,2025-04-01 07:43:00,33 - 1,0.0
800,2025-04-01,48 - 2,1900-01-01 07:45:00,1900-01-01 08:01:00,Régulier,LULY00,47,ODIER,2025-04-01 07:45:00,2025-04-01 07:45:00,47 - 2,0.0
204,2025-04-01,32 - 6,1900-01-01 07:48:40,1900-01-01 08:12:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 07:48:40,2025-04-01 07:48:00,31 - 6,0.0
1911,2025-04-01,L - 5,1900-01-01 07:50:00,1900-01-01 08:09:00,Régulier,SYGA00,70,ODIER,2025-04-01 07:50:00,2025-04-01 07:50:00,70 - 5,0.0
1536,2025-04-01,60 - 7,1900-01-01 07:50:40,1900-01-01 08:41:00,Régulier,GXAI01,61,Rdta,2025-04-01 07:50:40,2025-04-01 07:50:00,61 - 7,0.0
752,2025-04-01,48 - 4,1900-01-01 07:55:40,1900-01-01 08:10:40,Régulier,CRCO05,47,ODIER,2025-04-01 07:55:40,2025-04-01 07:55:00,47 - 4,0.0
801,2025-04-01,48 - 1,1900-01-01 08:01:40,1900-01-01 08:17:40,Régulier,LULY00,47,ODIER,2025-04-01 08:01:40,2025-04-01 08:01:00,47 - 1,0.0
625,2025-04-01,C5 - 57,1900-01-01 08:03:00,1900-01-01 08:20:40,Régulier,COVI01,39,Genève-Tours,2025-04-01 08:03:00,2025-04-01 08:03:00,39 - 57,0.0
