,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
25969,2025-04-11,48 - 3,1900-01-01 06:49:40,1900-01-01 07:03:40,Régulier,CRCO05,47,ODIER,2025-04-11 06:49:40,2025-04-11 06:49:00,47 - 3,0.0
25419,2025-04-11,33 - 16,1900-01-01 06:50:00,1900-01-01 07:11:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 06:50:00,2025-04-11 06:50:00,31 - 16,0.0
27087,2025-04-11,L - 5,1900-01-01 06:50:00,1900-01-01 07:07:20,Régulier,SYGA00,70,ODIER,2025-04-11 06:50:00,2025-04-11 06:50:00,70 - 5,0.0
27044,2025-04-11,L - 6,1900-01-01 06:55:00,1900-01-01 07:12:40,Régulier,CRCO05,70,ODIER,2025-04-11 06:55:00,2025-04-11 06:55:00,70 - 6,0.0
26022,2025-04-11,48 - 5,1900-01-01 06:57:00,1900-01-01 07:10:40,Régulier,LULY00,47,ODIER,2025-04-11 06:57:00,2025-04-11 06:57:00,47 - 5,0.0
25371,2025-04-11,33 - 14,1900-01-01 06:58:40,1900-01-01 07:18:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 06:58:40,2025-04-11 06:58:00,31 - 14,0.0
26738,2025-04-11,60 - 4,1900-01-01 06:58:40,1900-01-01 07:46:40,Régulier,GXAI01,61,Rdta,2025-04-11 06:58:40,2025-04-11 06:58:00,61 - 4,0.0
25551,2025-04-11,37 - 26,1900-01-01 07:01:00,1900-01-01 07:28:20,Régulier,PMAR01,33,Genève-Tours,2025-04-11 07:01:00,2025-04-11 07:01:00,33 - 26,0.0
25420,2025-04-11,33 - 12,1900-01-01 07:04:00,1900-01-01 07:26:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 07:04:00,2025-04-11 07:04:00,31 - 12,0.0
27045,2025-04-11,L - 4,1900-01-01 07:05:00,1900-01-01 07:23:40,Régulier,CRCO05,70,ODIER,2025-04-11 07:05:00,2025-04-11 07:05:00,70 - 4,0.0
27088,2025-04-11,L - 1,1900-01-01 07:05:00,1900-01-01 07:24:00,Régulier,SYGA00,70,ODIER,2025-04-11 07:05:00,2025-04-11 07:05:00,70 - 1,0.0
25970,2025-04-11,48 - 6,1900-01-01 07:08:00,1900-01-01 07:23:00,Régulier,CRCO05,47,ODIER,2025-04-11 07:08:00,2025-04-11 07:08:00,47 - 6,0.0
26023,2025-04-11,48 - 3,1900-01-01 07:08:40,1900-01-01 07:23:20,Régulier,LULY00,47,ODIER,2025-04-11 07:08:40,2025-04-11 07:08:00,47 - 3,0.0
25372,2025-04-11,32 - 6,1900-01-01 07:15:00,1900-01-01 07:37:20,Régulier,PMAR00,31,Genève-Tours,2025-04-11 07:15:00,2025-04-11 07:15:00,31 - 6,0.0
27089,2025-04-11,L - 6,1900-01-01 07:20:00,1900-01-01 07:39:00,Régulier,SYGA00,70,ODIER,2025-04-11 07:20:00,2025-04-11 07:20:00,70 - 6,0.0
25421,2025-04-11,32 - 1,1900-01-01 07:20:40,1900-01-01 07:43:20,Régulier,PRSM00,31,Genève-Tours,2025-04-11 07:20:40,2025-04-11 07:20:00,31 - 1,0.0
27046,2025-04-11,L - 5,1900-01-01 07:21:00,1900-01-01 07:39:40,Régulier,CRCO05,70,ODIER,2025-04-11 07:21:00,2025-04-11 07:21:00,70 - 5,0.0
26739,2025-04-11,60 - 5,1900-01-01 07:23:00,1900-01-01 08:12:40,Régulier,GXAI01,61,Rdta,2025-04-11 07:23:00,2025-04-11 07:23:00,61 - 5,0.0
25971,2025-04-11,48 - 2,1900-01-01 07:25:00,1900-01-01 07:40:00,Régulier,CRCO05,47,ODIER,2025-04-11 07:25:00,2025-04-11 07:25:00,47 - 2,0.0
25641,2025-04-11,33z - 17,1900-01-01 07:26:40,1900-01-01 07:44:00,Régulier,VAND02,33,Genève-Tours,2025-04-11 07:26:40,2025-04-11 07:26:00,33 - 17,0.0
26024,2025-04-11,48 - 6,1900-01-01 07:28:40,1900-01-01 07:44:40,Régulier,LULY00,47,ODIER,2025-04-11 07:28:40,2025-04-11 07:28:00,47 - 6,0.0
25373,2025-04-11,33 - 13,1900-01-01 07:29:40,1900-01-01 07:52:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 07:29:40,2025-04-11 07:29:00,31 - 13,0.0
25422,2025-04-11,33 - 14,1900-01-01 07:33:40,1900-01-01 07:57:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 07:33:40,2025-04-11 07:33:00,31 - 14,0.0
25601,2025-04-11,37 - 26,1900-01-01 07:33:40,1900-01-01 08:01:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 07:33:40,2025-04-11 07:33:00,33 - 26,0.0
27047,2025-04-11,L - 2,1900-01-01 07:35:00,1900-01-01 07:53:40,Régulier,CRCO05,70,ODIER,2025-04-11 07:35:00,2025-04-11 07:35:00,70 - 2,0.0
27090,2025-04-11,L - 4,1900-01-01 07:35:00,1900-01-01 07:54:00,Régulier,SYGA00,70,ODIER,2025-04-11 07:35:00,2025-04-11 07:35:00,70 - 4,0.0
25374,2025-04-11,33 - 15,1900-01-01 07:41:40,1900-01-01 08:05:00,Régulier,PMAR00,31,Genève-Tours,2025-04-11 07:41:40,2025-04-11 07:41:00,31 - 15,0.0
25972,2025-04-11,48 - 1,1900-01-01 07:41:40,1900-01-01 07:56:40,Régulier,CRCO05,47,ODIER,2025-04-11 07:41:40,2025-04-11 07:41:00,47 - 1,0.0
25554,2025-04-11,32 - 1,1900-01-01 07:43:40,1900-01-01 08:12:00,Régulier,PMAR01,33,Genève-Tours,2025-04-11 07:43:40,2025-04-11 07:43:00,33 - 1,0.0
26025,2025-04-11,48 - 2,1900-01-01 07:45:00,1900-01-01 08:01:00,Régulier,LULY00,47,ODIER,2025-04-11 07:45:00,2025-04-11 07:45:00,47 - 2,0.0
25423,2025-04-11,32 - 6,1900-01-01 07:48:40,1900-01-01 08:12:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 07:48:40,2025-04-11 07:48:00,31 - 6,0.0
27091,2025-04-11,L - 5,1900-01-01 07:50:00,1900-01-01 08:09:00,Régulier,SYGA00,70,ODIER,2025-04-11 07:50:00,2025-04-11 07:50:00,70 - 5,0.0
26740,2025-04-11,60 - 7,1900-01-01 07:50:40,1900-01-01 08:41:00,Régulier,GXAI01,61,Rdta,2025-04-11 07:50:40,2025-04-11 07:50:00,61 - 7,0.0
25973,2025-04-11,48 - 4,1900-01-01 07:55:40,1900-01-01 08:10:40,Régulier,CRCO05,47,ODIER,2025-04-11 07:55:40,2025-04-11 07:55:00,47 - 4,0.0
26026,2025-04-11,48 - 1,1900-01-01 08:01:40,1900-01-01 08:17:40,Régulier,LULY00,47,ODIER,2025-04-11 08:01:40,2025-04-11 08:01:00,47 - 1,0.0
25375,2025-04-11,37 - 26,1900-01-01 08:03:00,1900-01-01 08:26:20,Régulier,PMAR00,31,Genève-Tours,2025-04-11 08:03:00,2025-04-11 08:03:00,31 - 26,0.0
25854,2025-04-11,C5 - 57,1900-01-01 08:03:00,1900-01-01 08:20:40,Régulier,COVI01,39,Genève-Tours,2025-04-11 08:03:00,2025-04-11 08:03:00,39 - 57,0.0
25424,2025-04-11,33 - 13,1900-01-01 08:05:40,1900-01-01 08:29:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 08:05:40,2025-04-11 08:05:00,31 - 13,0.0
27048,2025-04-11,L - 3,1900-01-01 08:07:00,1900-01-01 08:25:20,Régulier,CRCO05,70,ODIER,2025-04-11 08:07:00,2025-04-11 08:07:00,70 - 3,0.0
27092,2025-04-11,L - 2,1900-01-01 08:07:00,1900-01-01 08:26:00,Régulier,SYGA00,70,ODIER,2025-04-11 08:07:00,2025-04-11 08:07:00,70 - 2,0.0
26720,2025-04-11,60 - 12,1900-01-01 08:09:00,1900-01-01 08:53:40,Régulier,CVIN03,61,Rdta,2025-04-11 08:09:00,2025-04-11 08:09:00,61 - 12,0.0
25974,2025-04-11,48 - 5,1900-01-01 08:12:40,1900-01-01 08:27:00,Régulier,CRCO05,47,ODIER,2025-04-11 08:12:40,2025-04-11 08:12:00,47 - 5,0.0
27870,2025-04-11,38 - 54,1900-01-01 08:13:00,1900-01-01 08:28:40,Régulier,MALA00,C4,Genève-Tours,2025-04-11 08:13:00,2025-04-11 08:13:00,C4 - 54,0.0
25556,2025-04-11,32 - 6,1900-01-01 08:14:00,1900-01-01 08:42:00,Régulier,PMAR01,33,Genève-Tours,2025-04-11 08:14:00,2025-04-11 08:14:00,33 - 6,0.0
26027,2025-04-11,48 - 4,1900-01-01 08:15:40,1900-01-01 08:31:40,Régulier,LULY00,47,ODIER,2025-04-11 08:15:40,2025-04-11 08:15:00,47 - 4,0.0
25604,2025-04-11,32 - 1,1900-01-01 08:16:40,1900-01-01 08:43:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 08:16:40,2025-04-11 08:16:00,33 - 1,0.0
25376,2025-04-11,33 - 16,1900-01-01 08:17:40,1900-01-01 08:39:00,Régulier,PMAR00,31,Genève-Tours,2025-04-11 08:17:40,2025-04-11 08:17:00,31 - 16,0.0
25425,2025-04-11,33 - 15,1900-01-01 08:17:40,1900-01-01 08:40:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 08:17:40,2025-04-11 08:17:00,31 - 15,0.0
26741,2025-04-11,60 - 16,1900-01-01 08:18:00,1900-01-01 09:07:20,Régulier,GXAI01,61,Rdta,2025-04-11 08:18:00,2025-04-11 08:18:00,61 - 16,0.0
25975,2025-04-11,48 - 3,1900-01-01 08:28:00,1900-01-01 08:42:20,Régulier,CRCO05,47,ODIER,2025-04-11 08:28:00,2025-04-11 08:28:00,47 - 3,0.0
25377,2025-04-11,33 - 12,1900-01-01 08:31:40,1900-01-01 08:51:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 08:31:40,2025-04-11 08:31:00,31 - 12,0.0
26028,2025-04-11,48 - 5,1900-01-01 08:32:40,1900-01-01 08:47:20,Régulier,LULY00,47,ODIER,2025-04-11 08:32:40,2025-04-11 08:32:00,47 - 5,0.0
27093,2025-04-11,L - 3,1900-01-01 08:35:00,1900-01-01 08:51:40,Régulier,SYGA00,70,ODIER,2025-04-11 08:35:00,2025-04-11 08:35:00,70 - 3,0.0
25426,2025-04-11,37 - 26,1900-01-01 08:36:40,1900-01-01 08:58:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 08:36:40,2025-04-11 08:36:00,31 - 26,0.0
27049,2025-04-11,L - 1,1900-01-01 08:37:00,1900-01-01 08:55:00,Régulier,CRCO05,70,ODIER,2025-04-11 08:37:00,2025-04-11 08:37:00,70 - 1,0.0
26721,2025-04-11,60 - 6,1900-01-01 08:37:40,1900-01-01 09:22:00,Régulier,CVIN03,61,Rdta,2025-04-11 08:37:40,2025-04-11 08:37:00,61 - 6,0.0
25976,2025-04-11,48 - 6,1900-01-01 08:43:40,1900-01-01 08:58:00,Régulier,CRCO05,47,ODIER,2025-04-11 08:43:40,2025-04-11 08:43:00,47 - 6,0.0
25378,2025-04-11,32 - 1,1900-01-01 08:44:40,1900-01-01 09:04:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 08:44:40,2025-04-11 08:44:00,31 - 1,0.0
26029,2025-04-11,48 - 3,1900-01-01 08:47:20,1900-01-01 09:01:40,Régulier,LULY00,47,ODIER,2025-04-11 08:47:20,2025-04-11 08:47:00,47 - 3,0.0
26722,2025-04-11,60 - 7,1900-01-01 08:52:20,1900-01-01 09:37:20,Régulier,CVIN03,61,Rdta,2025-04-11 08:52:20,2025-04-11 08:52:00,61 - 7,0.0
25427,2025-04-11,33 - 16,1900-01-01 08:52:40,1900-01-01 09:14:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 08:52:40,2025-04-11 08:52:00,31 - 16,0.0
25559,2025-04-11,37 - 26,1900-01-01 08:58:40,1900-01-01 09:24:20,Régulier,PMAR01,33,Genève-Tours,2025-04-11 08:58:40,2025-04-11 08:58:00,33 - 26,0.0
25977,2025-04-11,48 - 2,1900-01-01 08:59:20,1900-01-01 09:13:40,Régulier,CRCO05,47,ODIER,2025-04-11 08:59:20,2025-04-11 08:59:00,47 - 2,0.0
25606,2025-04-11,32 - 6,1900-01-01 09:00:00,1900-01-01 09:25:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 09:00:00,2025-04-11 09:00:00,33 - 6,0.0
25379,2025-04-11,33 - 14,1900-01-01 09:01:40,1900-01-01 09:21:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 09:01:40,2025-04-11 09:01:00,31 - 14,0.0
26030,2025-04-11,48 - 6,1900-01-01 09:03:00,1900-01-01 09:16:40,Régulier,LULY00,47,ODIER,2025-04-11 09:03:00,2025-04-11 09:03:00,47 - 6,0.0
26723,2025-04-11,60 - 15,1900-01-01 09:03:20,1900-01-01 09:48:20,Régulier,CVIN03,61,Rdta,2025-04-11 09:03:20,2025-04-11 09:03:00,61 - 15,0.0
27094,2025-04-11,L - 1,1900-01-01 09:05:00,1900-01-01 09:21:40,Régulier,SYGA00,70,ODIER,2025-04-11 09:05:00,2025-04-11 09:05:00,70 - 1,0.0
27050,2025-04-11,L - 6,1900-01-01 09:07:00,1900-01-01 09:24:40,Régulier,CRCO05,70,ODIER,2025-04-11 09:07:00,2025-04-11 09:07:00,70 - 6,0.0
25978,2025-04-11,48 - 1,1900-01-01 09:14:40,1900-01-01 09:29:00,Régulier,CRCO05,47,ODIER,2025-04-11 09:14:40,2025-04-11 09:14:00,47 - 1,0.0
25515,2025-04-11,37 - 28,1900-01-01 09:18:00,1900-01-01 09:48:20,Régulier,PRSM00,32,Genève-Tours,2025-04-11 09:18:00,2025-04-11 09:18:00,32 - 28,0.0
25428,2025-04-11,33 - 12,1900-01-01 09:24:00,1900-01-01 09:45:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 09:24:00,2025-04-11 09:24:00,31 - 12,0.0
26724,2025-04-11,60 - 14,1900-01-01 09:26:20,1900-01-01 10:11:00,Régulier,CVIN03,61,Rdta,2025-04-11 09:26:20,2025-04-11 09:26:00,61 - 14,0.0
25380,2025-04-11,32 - 6,1900-01-01 09:27:40,1900-01-01 09:47:20,Régulier,PMAR00,31,Genève-Tours,2025-04-11 09:27:40,2025-04-11 09:27:00,31 - 6,0.0
25979,2025-04-11,48 - 4,1900-01-01 09:28:40,1900-01-01 09:43:00,Régulier,CRCO05,47,ODIER,2025-04-11 09:28:40,2025-04-11 09:28:00,47 - 4,0.0
25607,2025-04-11,37 - 26,1900-01-01 09:31:20,1900-01-01 09:56:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 09:31:20,2025-04-11 09:31:00,33 - 26,0.0
27095,2025-04-11,L - 6,1900-01-01 09:35:00,1900-01-01 09:51:40,Régulier,SYGA00,70,ODIER,2025-04-11 09:35:00,2025-04-11 09:35:00,70 - 6,0.0
25754,2025-04-11,32 - 1,1900-01-01 09:36:00,1900-01-01 10:02:00,Régulier,PRSM05,37,Genève-Tours,2025-04-11 09:36:00,2025-04-11 09:36:00,37 - 1,0.0
27051,2025-04-11,L - 2,1900-01-01 09:37:00,1900-01-01 09:54:40,Régulier,CRCO05,70,ODIER,2025-04-11 09:37:00,2025-04-11 09:37:00,70 - 2,0.0
26031,2025-04-11,48 - 1,1900-01-01 09:48:00,1900-01-01 10:01:40,Régulier,LULY00,47,ODIER,2025-04-11 09:48:00,2025-04-11 09:48:00,47 - 1,0.0
25429,2025-04-11,32 - 6,1900-01-01 09:53:40,1900-01-01 10:14:40,Régulier,PRSM00,31,Genève-Tours,2025-04-11 09:53:40,2025-04-11 09:53:00,31 - 6,0.0
25980,2025-04-11,48 - 3,1900-01-01 09:56:40,1900-01-01 10:11:00,Régulier,CRCO05,47,ODIER,2025-04-11 09:56:40,2025-04-11 09:56:00,47 - 3,0.0
25381,2025-04-11,37 - 26,1900-01-01 09:57:40,1900-01-01 10:17:20,Régulier,PMAR00,31,Genève-Tours,2025-04-11 09:57:40,2025-04-11 09:57:00,31 - 26,0.0
27096,2025-04-11,L - 2,1900-01-01 10:05:00,1900-01-01 10:21:40,Régulier,SYGA00,70,ODIER,2025-04-11 10:05:00,2025-04-11 10:05:00,70 - 2,0.0
25755,2025-04-11,32 - 3,1900-01-01 10:06:00,1900-01-01 10:32:00,Régulier,PRSM05,37,Genève-Tours,2025-04-11 10:06:00,2025-04-11 10:06:00,37 - 3,0.0
27052,2025-04-11,L - 3,1900-01-01 10:07:00,1900-01-01 10:24:40,Régulier,CRCO05,70,ODIER,2025-04-11 10:07:00,2025-04-11 10:07:00,70 - 3,0.0
25713,2025-04-11,32 - 1,1900-01-01 10:11:00,1900-01-01 10:38:40,Régulier,LULI00,37,Genève-Tours,2025-04-11 10:11:00,2025-04-11 10:11:00,37 - 1,0.0
25562,2025-04-11,32 - 6,1900-01-01 10:15:40,1900-01-01 10:41:20,Régulier,PMAR01,33,Genève-Tours,2025-04-11 10:15:40,2025-04-11 10:15:00,33 - 6,0.0
26032,2025-04-11,48 - 3,1900-01-01 10:18:40,1900-01-01 10:32:20,Régulier,LULY00,47,ODIER,2025-04-11 10:18:40,2025-04-11 10:18:00,47 - 3,0.0
25430,2025-04-11,37 - 24,1900-01-01 10:24:40,1900-01-01 10:46:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 10:24:40,2025-04-11 10:24:00,31 - 24,0.0
25382,2025-04-11,33 - 16,1900-01-01 10:27:40,1900-01-01 10:47:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 10:27:40,2025-04-11 10:27:00,31 - 16,0.0
25981,2025-04-11,48 - 2,1900-01-01 10:27:40,1900-01-01 10:42:00,Régulier,CRCO05,47,ODIER,2025-04-11 10:27:40,2025-04-11 10:27:00,47 - 2,0.0
25756,2025-04-11,32 - 5,1900-01-01 10:35:00,1900-01-01 11:01:00,Régulier,PRSM05,37,Genève-Tours,2025-04-11 10:35:00,2025-04-11 10:35:00,37 - 5,0.0
27097,2025-04-11,L - 3,1900-01-01 10:35:00,1900-01-01 10:51:40,Régulier,SYGA00,70,ODIER,2025-04-11 10:35:00,2025-04-11 10:35:00,70 - 3,0.0
27053,2025-04-11,L - 1,1900-01-01 10:37:00,1900-01-01 10:54:40,Régulier,CRCO05,70,ODIER,2025-04-11 10:37:00,2025-04-11 10:37:00,70 - 1,0.0
25714,2025-04-11,32 - 3,1900-01-01 10:41:00,1900-01-01 11:08:40,Régulier,LULI00,37,Genève-Tours,2025-04-11 10:41:00,2025-04-11 10:41:00,37 - 3,0.0
25563,2025-04-11,37 - 24,1900-01-01 10:46:40,1900-01-01 11:12:40,Régulier,PMAR01,33,Genève-Tours,2025-04-11 10:46:40,2025-04-11 10:46:00,33 - 24,0.0
26033,2025-04-11,48 - 2,1900-01-01 10:47:40,1900-01-01 11:01:20,Régulier,LULY00,47,ODIER,2025-04-11 10:47:40,2025-04-11 10:47:00,47 - 2,0.0
25431,2025-04-11,37 - 26,1900-01-01 10:53:40,1900-01-01 11:15:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 10:53:40,2025-04-11 10:53:00,31 - 26,0.0
25982,2025-04-11,48 - 1,1900-01-01 10:55:40,1900-01-01 11:10:20,Régulier,CRCO05,47,ODIER,2025-04-11 10:55:40,2025-04-11 10:55:00,47 - 1,0.0
25383,2025-04-11,33 - 12,1900-01-01 10:57:40,1900-01-01 11:17:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 10:57:40,2025-04-11 10:57:00,31 - 12,0.0
25610,2025-04-11,32 - 6,1900-01-01 11:01:40,1900-01-01 11:27:20,Régulier,RIVE04,33,Genève-Tours,2025-04-11 11:01:40,2025-04-11 11:01:00,33 - 6,0.0
25757,2025-04-11,32 - 2,1900-01-01 11:05:00,1900-01-01 11:31:00,Régulier,PRSM05,37,Genève-Tours,2025-04-11 11:05:00,2025-04-11 11:05:00,37 - 2,0.0
27098,2025-04-11,L - 1,1900-01-01 11:05:00,1900-01-01 11:21:40,Régulier,SYGA00,70,ODIER,2025-04-11 11:05:00,2025-04-11 11:05:00,70 - 1,0.0
27054,2025-04-11,L - 6,1900-01-01 11:07:00,1900-01-01 11:25:00,Régulier,CRCO05,70,ODIER,2025-04-11 11:07:00,2025-04-11 11:07:00,70 - 6,0.0
25715,2025-04-11,32 - 5,1900-01-01 11:11:00,1900-01-01 11:38:40,Régulier,LULI00,37,Genève-Tours,2025-04-11 11:11:00,2025-04-11 11:11:00,37 - 5,0.0
25564,2025-04-11,37 - 26,1900-01-01 11:15:40,1900-01-01 11:42:00,Régulier,PMAR01,33,Genève-Tours,2025-04-11 11:15:40,2025-04-11 11:15:00,33 - 26,0.0
26034,2025-04-11,48 - 1,1900-01-01 11:16:20,1900-01-01 11:30:20,Régulier,LULY00,47,ODIER,2025-04-11 11:16:20,2025-04-11 11:16:00,47 - 1,0.0
25432,2025-04-11,33 - 12,1900-01-01 11:23:40,1900-01-01 11:45:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 11:23:40,2025-04-11 11:23:00,31 - 12,0.0
25384,2025-04-11,32 - 6,1900-01-01 11:27:40,1900-01-01 11:47:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 11:27:40,2025-04-11 11:27:00,31 - 6,0.0
25983,2025-04-11,48 - 3,1900-01-01 11:28:40,1900-01-01 11:43:20,Régulier,CRCO05,47,ODIER,2025-04-11 11:28:40,2025-04-11 11:28:00,47 - 3,0.0
25611,2025-04-11,37 - 24,1900-01-01 11:31:40,1900-01-01 11:57:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 11:31:40,2025-04-11 11:31:00,33 - 24,0.0
26035,2025-04-11,48 - 7,1900-01-01 11:34:00,1900-01-01 11:48:00,Régulier,LULY00,47,ODIER,2025-04-11 11:34:00,2025-04-11 11:34:00,47 - 7,0.0
25758,2025-04-11,32 - 4,1900-01-01 11:35:00,1900-01-01 12:01:20,Régulier,PRSM05,37,Genève-Tours,2025-04-11 11:35:00,2025-04-11 11:35:00,37 - 4,0.0
27099,2025-04-11,L - 6,1900-01-01 11:35:00,1900-01-01 11:52:00,Régulier,SYGA00,70,ODIER,2025-04-11 11:35:00,2025-04-11 11:35:00,70 - 6,0.0
27055,2025-04-11,L - 2,1900-01-01 11:37:00,1900-01-01 11:55:00,Régulier,CRCO05,70,ODIER,2025-04-11 11:37:00,2025-04-11 11:37:00,70 - 2,0.0
25716,2025-04-11,32 - 2,1900-01-01 11:41:00,1900-01-01 12:08:40,Régulier,LULI00,37,Genève-Tours,2025-04-11 11:41:00,2025-04-11 11:41:00,37 - 2,0.0
25433,2025-04-11,32 - 5,1900-01-01 11:54:40,1900-01-01 12:16:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 11:54:40,2025-04-11 11:54:00,31 - 5,0.0
26036,2025-04-11,48 - 3,1900-01-01 11:55:20,1900-01-01 12:09:20,Régulier,LULY00,47,ODIER,2025-04-11 11:55:20,2025-04-11 11:55:00,47 - 3,0.0
25385,2025-04-11,37 - 24,1900-01-01 11:57:40,1900-01-01 12:17:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 11:57:40,2025-04-11 11:57:00,31 - 24,0.0
25613,2025-04-11,37 - 26,1900-01-01 12:01:40,1900-01-01 12:27:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 12:01:40,2025-04-11 12:01:00,33 - 26,0.0
25984,2025-04-11,48 - 2,1900-01-01 12:02:20,1900-01-01 12:17:40,Régulier,CRCO05,47,ODIER,2025-04-11 12:02:20,2025-04-11 12:02:00,47 - 2,0.0
25759,2025-04-11,32 - 6,1900-01-01 12:05:00,1900-01-01 12:31:40,Régulier,PRSM05,37,Genève-Tours,2025-04-11 12:05:00,2025-04-11 12:05:00,37 - 6,0.0
27100,2025-04-11,L - 7,1900-01-01 12:05:00,1900-01-01 12:22:00,Régulier,SYGA00,70,ODIER,2025-04-11 12:05:00,2025-04-11 12:05:00,70 - 7,0.0
27056,2025-04-11,L - 3,1900-01-01 12:06:00,1900-01-01 12:25:00,Régulier,CRCO05,70,ODIER,2025-04-11 12:06:00,2025-04-11 12:06:00,70 - 3,0.0
25717,2025-04-11,32 - 4,1900-01-01 12:11:00,1900-01-01 12:39:20,Régulier,LULI00,37,Genève-Tours,2025-04-11 12:11:00,2025-04-11 12:11:00,37 - 4,0.0
25566,2025-04-11,32 - 5,1900-01-01 12:16:40,1900-01-01 12:42:00,Régulier,PMAR01,33,Genève-Tours,2025-04-11 12:16:40,2025-04-11 12:16:00,33 - 5,0.0
25434,2025-04-11,32 - 1,1900-01-01 12:18:00,1900-01-01 12:39:20,Régulier,PRSM00,31,Genève-Tours,2025-04-11 12:18:00,2025-04-11 12:18:00,31 - 1,0.0
26037,2025-04-11,48 - 8,1900-01-01 12:22:40,1900-01-01 12:36:40,Régulier,LULY00,47,ODIER,2025-04-11 12:22:40,2025-04-11 12:22:00,47 - 8,0.0
25985,2025-04-11,48 - 1,1900-01-01 12:25:00,1900-01-01 12:40:00,Régulier,CRCO05,47,ODIER,2025-04-11 12:25:00,2025-04-11 12:25:00,47 - 1,0.0
25386,2025-04-11,37 - 26,1900-01-01 12:28:40,1900-01-01 12:48:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 12:28:40,2025-04-11 12:28:00,31 - 26,0.0
25614,2025-04-11,33z - 18,1900-01-01 12:34:00,1900-01-01 12:59:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 12:34:00,2025-04-11 12:34:00,33 - 18,0.0
27101,2025-04-11,L - 3,1900-01-01 12:35:00,1900-01-01 12:52:00,Régulier,SYGA00,70,ODIER,2025-04-11 12:35:00,2025-04-11 12:35:00,70 - 3,0.0
27057,2025-04-11,L - 1,1900-01-01 12:36:00,1900-01-01 12:55:00,Régulier,CRCO05,70,ODIER,2025-04-11 12:36:00,2025-04-11 12:36:00,70 - 1,0.0
25568,2025-04-11,32 - 1,1900-01-01 12:39:40,1900-01-01 13:05:00,Régulier,PMAR01,33,Genève-Tours,2025-04-11 12:39:40,2025-04-11 12:39:00,33 - 1,0.0
25718,2025-04-11,32 - 6,1900-01-01 12:41:00,1900-01-01 13:09:40,Régulier,LULI00,37,Genève-Tours,2025-04-11 12:41:00,2025-04-11 12:41:00,37 - 6,0.0
25986,2025-04-11,48 - 7,1900-01-01 12:42:40,1900-01-01 12:57:20,Régulier,CRCO05,47,ODIER,2025-04-11 12:42:40,2025-04-11 12:42:00,47 - 7,0.0
26038,2025-04-11,48 - 9,1900-01-01 12:45:00,1900-01-01 12:59:00,Régulier,LULY00,47,ODIER,2025-04-11 12:45:00,2025-04-11 12:45:00,47 - 9,0.0
26266,2025-04-11,55 - 23,1900-01-01 12:46:00,1900-01-01 12:53:40,Régulier,BOSY00,52,ODIER,2025-04-11 12:46:00,2025-04-11 12:46:00,52 - 23,0.0
25435,2025-04-11,33 - 19,1900-01-01 12:49:40,1900-01-01 13:11:00,Régulier,PRSM00,31,Genève-Tours,2025-04-11 12:49:40,2025-04-11 12:49:00,31 - 19,0.0
25387,2025-04-11,33z - 18,1900-01-01 13:00:40,1900-01-01 13:20:40,Régulier,PMAR00,31,Genève-Tours,2025-04-11 13:00:40,2025-04-11 13:00:00,31 - 18,0.0
25569,2025-04-11,Az - 35,1900-01-01 13:01:00,1900-01-01 13:26:20,Régulier,PMAR01,33,Genève-Tours,2025-04-11 13:01:00,2025-04-11 13:01:00,33 - 35,0.0
25615,2025-04-11,32 - 5,1900-01-01 13:01:40,1900-01-01 13:27:40,Régulier,RIVE04,33,Genève-Tours,2025-04-11 13:01:40,2025-04-11 13:01:00,33 - 5,0.0
