Numéro -Voit_y;Numéro -Voit_x;DateCourse;sched_start;CodeLong;actual_exit_ts
33 - 18;33 - 22;2025-05-12;1900-01-01 18:01:40;RIVE04;2025-05-12 18:02:16+00:00
33 - 20;37 - 33;2025-05-12;1900-01-01 18:13:40;PMAR01;2025-05-12 18:14:33+00:00
33 - 23;38 - 55;2025-05-12;1900-01-01 18:16:40;RIVE04;2025-05-12 18:17:41+00:00
33 - 22;33 - 18;2025-05-12;1900-01-01 18:27:40;PMAR01;2025-05-12 18:31:03+00:00
33 - 21;33 - 19;2025-05-12;1900-01-01 18:32:00;RIVE04;2025-05-12 18:33:00+00:00
33 - 55;33 - 23;2025-05-12;1900-01-01 18:45:00;PMAR01;2025-05-12 18:47:03+00:00
33 - 20;37 - 33;2025-05-12;1900-01-01 18:47:40;RIVE04;2025-05-12 18:48:05+00:00
33 - 19;33 - 21;2025-05-12;1900-01-01 18:56:40;PMAR01;2025-05-12 19:00:25+00:00
33 - 22;33 - 18;2025-05-12;1900-01-01 19:02:40;RIVE04;2025-05-12 19:02:18+00:00
33 - 33;33 - 20;2025-05-12;1900-01-01 19:11:40;PMAR01;2025-05-12 19:14:49+00:00
33 - 19;33 - 21;2025-05-12;1900-01-01 19:31:40;RIVE04;2025-05-12 19:33:43+00:00
33 - 23;33 - 19;2025-05-12;1900-01-01 19:44:00;PMAR01;2025-05-12 19:44:45+00:00
33 - 18;33 - 20;2025-05-12;1900-01-01 20:02:40;RIVE04;2025-05-12 20:03:06+00:00
33 - 20;33 - 18;2025-05-12;1900-01-01 20:13:40;PMAR01;2025-05-12 20:11:54+00:00
33 - 21;33 - 19;2025-05-12;1900-01-01 20:34:00;RIVE04;2025-05-12 20:32:28+00:00
33 - 19;37 - 30;2025-05-12;1900-01-01 20:44:20;PMAR01;2025-05-12 20:45:13+00:00
33 - 20;33 - 18;2025-05-12;1900-01-01 21:05:40;RIVE04;2025-05-12 21:03:13+00:00
33 - 18;33 - 20;2025-05-12;1900-01-01 21:14:20;PMAR01;2025-05-12 21:14:59+00:00
33 - 18;33 - 20;2025-05-12;1900-01-01 22:05:40;RIVE04;2025-05-12 22:06:08+00:00
33 - 20;33 - 18;2025-05-12;1900-01-01 22:14:00;PMAR01;2025-05-12 22:14:13+00:00
33 - 20;33 - 18;2025-05-12;1900-01-01 23:06:20;RIVE04;2025-05-12 23:07:05+00:00
33 - 18;37 - 32;2025-05-12;1900-01-01 23:14:20;PMAR01;2025-05-12 23:14:26+00:00
33 - 13;33 - 12;2025-05-14;1900-01-01 06:07:40;RIVE04;2025-05-14 06:07:03+00:00
33 - 12;33 - 13;2025-05-14;1900-01-01 06:15:00;PMAR01;2025-05-14 06:14:24+00:00
33 - 15;33 - 14;2025-05-14;1900-01-01 06:32:40;RIVE04;2025-05-14 06:35:21+00:00
33 - 12;33 - 13;2025-05-14;1900-01-01 07:03:40;RIVE04;2025-05-14 07:08:10+00:00
33 - 13;33 - 16;2025-05-14;1900-01-01 07:13:00;PMAR01;2025-05-14 07:15:31+00:00
33 - 14;37 - 26;2025-05-14;1900-01-01 07:33:40;RIVE04;2025-05-14 07:33:32+00:00
33 - 15;32 - 1;2025-05-14;1900-01-01 07:43:40;PMAR01;2025-05-14 07:46:17+00:00
33 - 26;33 - 14;2025-05-14;1900-01-01 07:59:00;PMAR01;2025-05-14 08:01:28+00:00
33 - 13;33 - 12;2025-05-14;1900-01-01 08:03:40;RIVE04;2025-05-14 08:04:00+00:00
33 - 16;32 - 6;2025-05-14;1900-01-01 08:14:00;PMAR01;2025-05-14 08:12:52+00:00
33 - 15;32 - 1;2025-05-14;1900-01-01 08:16:40;RIVE04;2025-05-14 08:16:32+00:00
33 - 12;33 - 13;2025-05-14;1900-01-01 08:29:40;PMAR01;2025-05-14 08:27:01+00:00
33 - 26;33 - 14;2025-05-14;1900-01-01 08:33:40;RIVE04;2025-05-14 08:34:22+00:00
